location;lat;lon
786;50.9098693;6.941747
792;50.9639129;6.9768709
793;50.9898292;6.9627066
794;50.9898292;6.9627066
795;50.9898292;6.9627066
796;50.9898292;6.9627066
797;50.9504192;7.0485978
798;50.9504192;7.0485978
799;50.9679925;6.887914431752257
800;50.9679925;6.887914431752257
811;50.9098095;6.924653
812;50.9658456;6.9997117
813;50.9658456;6.9997117
814;50.9658456;6.9997117
815;50.9359354;6.871246459161802
816;50.9359354;6.871246459161802
817;50.9329543;7.0212406
818;50.9329543;7.0212406
819;50.9359354;6.871246459161802
820;50.9359354;6.871246459161802
821;50.9359354;6.871246459161802
822;50.9359354;6.871246459161802
823;50.9359354;6.871246459161802
824;50.9359354;6.871246459161802
825;50.8799229;7.0950744704864315
826;50.8799229;7.0950744704864315
827;50.9284744;7.099784668081636
828;50.9284744;7.099784668081636
829;50.9284744;7.099784668081636
830;50.9359354;6.871246459161802
831;50.9359354;6.871246459161802
832;50.98864895;6.935727475616647
833;50.98864895;6.935727475616647
834;50.9898292;6.9627066
835;50.9898292;6.9627066
836;51.00437135;6.956883010350544
837;50.9898292;6.9627066
838;50.9898292;6.9627066
839;50.9098095;6.924653
840;50.9098095;6.924653
841;50.98864895;6.935727475616647
842;50.98864895;6.935727475616647
843;50.98864895;6.935727475616647
844;50.98864895;6.935727475616647
845;50.9898292;6.9627066
846;51.0175254;6.9441698
847;50.9898292;6.9627066
848;50.9898292;6.9627066
849;50.9898292;6.9627066
850;50.9504192;7.0485978
851;50.9504192;7.0485978
852;50.9639129;6.9768709
855;50.94790635;6.941059308417779
856;50.9121007;6.988889
857;50.9658456;6.9997117
858;50.9658456;6.9997117
859;50.9658456;6.9997117
860;50.9658456;6.9997117
861;50.9658456;6.9997117
862;50.9658456;6.9997117
863;50.9359354;6.871246459161802
864;50.9359354;6.871246459161802
865;50.9658456;6.9997117
866;50.9658456;6.9997117
878;50.92560365;7.007675867976797
879;50.92560365;7.007675867976797
880;50.92560365;7.007675867976797
881;50.92560365;7.007675867976797
883;50.9284744;7.099784668081636
884;50.9561167;6.8801018
885;50.9561167;6.8801018
886;50.8799229;7.0950744704864315
887;50.8799229;7.0950744704864315
888;50.8799229;7.0950744704864315
889;50.8799229;7.0950744704864315
890;50.8799229;7.0950744704864315
891;50.9691898;7.0417215
892;50.9691898;7.0417215
898;50.94790635;6.941059308417779
899;50.94790635;6.941059308417779
932;50.9691898;7.0417215
933;50.9811182;7.031467312536698
934;50.9047384;7.0547855
935;50.8799229;7.0950744704864315
936;50.8799229;7.0950744704864315
937;50.8799229;7.0950744704864315
938;50.8799229;7.0950744704864315
942;50.9505616;7.0054722
943;50.9505616;7.0054722
944;50.9505616;7.0054722
951;50.9656636;7.0931888
952;50.9656636;7.0931888
953;50.9665139;7.0931115
954;50.9665139;7.0931115
955;51.0409745;6.9343426
956;51.0409745;6.9343426
957;50.8489902;7.1024526
958;50.8489902;7.1024526
959;50.9079878;6.9611688
960;50.9079878;6.9611688
961;50.9079878;6.9611688
962;50.9598891;6.9011507
963;50.9598891;6.9011507
964;50.9598891;6.9011507
965;50.9598891;6.9011507
966;50.9598891;6.9011507
967;50.9110582;6.9692379
968;50.9110582;6.9692379
969;50.9110582;6.9692379
970;50.9079878;6.9611688
971;50.9079878;6.9611688
